longitude,latitude,median_income,median_house_value
-122.27,37.81,1166.7,112500
-122.28,37.81,1520.8,112500
-122.28,37.81,807.5,137500
-122.28,37.81,1808.8,118800
-122.28,37.81,2408.3,98200
-122.27,37.81,977,118800
-122.27,37.81,760,162500
-122.27,37.8,972.2,137500
-122.27,37.8,2093.7999999999997,162500
-122.28,37.8,866.8000000000001,137500
-122.28,37.8,750,162500
-122.27,37.79,2635.4,187500
-122.27,37.8,1847.7,179200
-122.26,37.8,2009.6,130000
-122.26,37.82,2834.5,183800
-122.26,37.81,2006.2000000000005,125000
-122.26,37.82,1218.5,170000
-122.26,37.82,2610.3999999999996,193100
-122.25,37.81,2491.2000000000003,257800
-122.25,37.81,3217.7,273400
-122.25,37.81,3125,237500
-122.25,37.81,2579.5,350000
-122.26,37.81,2840.6,335700
-122.24,37.82,4930.6,313400
-122.24,37.81,3272.7,268500
-122.25,37.81,3169.1,259400
-122.24,37.82,3900,275700
-122.25,37.82,3906.3,225000
-122.25,37.82,5091.700000000001,262500
-122.25,37.82,2642.9,218500
-122.25,37.82,3023.2999999999997,255000
-122.25,37.83,3148.4,224100
-122.25,37.83,3472.2,243100
-122.25,37.83,3142.9,231600
-122.25,37.83,2423.4,218500
-122.25,37.83,3089.7000000000003,234100
-122.23,37.84,5859.6,327600
-122.23,37.84,5286.8,347600
-122.24,37.83,5956,366100
-122.24,37.85,4964.299999999999,335000
-122.23,37.85,6343.4,373600
-122.24,37.84,5177.3,389500
-122.24,37.85,7235.4,391100
-122.22,37.85,5457,337300
-122.22,37.84,7500,295200
-122.21,37.84,6019.4,292300
-122.21,37.83,7554.4,411500
-122.2,37.84,6066.6,311500
-122.21,37.84,7054.8,325900
-122.2,37.84,7488.2,319300
-122.21,37.83,6897.5999999999995,333300
-122.19,37.83,8204.9,335200
-122.2,37.83,8401,351200
-122.19,37.83,6853.799999999999,368900
-122.19,37.82,8317,365900
-122.2,37.82,7017.5,366700
-122.2,37.82,6330.2,362800
-122.18,37.81,6362.4,483300
-122.21,37.82,7054.9,331400
-122.2,37.81,6785.1,323500
-122.21,37.8,2892.9,216700
-122.21,37.8,3081.2,233100
-122.21,37.81,5240.2,296400
-122.22,37.81,6521.7,273700
-122.22,37.8,3263.2,227700
-122.22,37.8,3029.7999999999997,199600
-122.22,37.8,4542.799999999999,239800
-122.22,37.81,4072,270100
-122.22,37.81,5350.9000000000005,302100
-122.23,37.8,3160.2999999999997,269500
-122.23,37.81,4770.8,314700
-122.22,37.81,8156.4,390100
-122.23,37.81,8879.300000000001,410300
-122.24,37.81,6859.0999999999995,352400
-122.24,37.81,6030.2,287300
-122.23,37.81,7508,348700
-122.24,37.81,2747.7,243800
-122.24,37.8,2194.4,211500
-122.25,37.8,3014.9,218400
-122.24,37.81,3675,269900
-122.25,37.81,3225,218800
-122.25,37.8,2934.5,225000
-122.25,37.8,2142.9,250000
-122.25,37.8,1612.1,171400
-122.25,37.8,1392.9,193800
-122.24,37.79,2317.2999999999997,125000
-122.25,37.79,1777.1999999999998,97500
-122.25,37.79,2645.7999999999997,125000
-122.25,37.79,2181,138800
-122.25,37.8,2230.3,116700
-122.25,37.8,1650.4,151800
-122.24,37.8,2269.7,127000
-122.24,37.8,2156.2999999999997,128600
-122.24,37.8,2134.7999999999997,140600
-122.24,37.8,2629.2,182700
-122.23,37.8,2383.3,146900
-122.24,37.8,2957,122800
-122.24,37.8,2523.8,169300
-122.23,37.8,1937.5,126600
-122.23,37.8,1902.8,127900
-122.23,37.8,2250,123500
-122.23,37.8,2392.9,111900
-122.23,37.79,2191.7,112800
-122.23,37.79,2935.7000000000003,107900
-122.23,37.79,1885.4,137500
-122.24,37.79,2163.8,105500
-122.24,37.79,2125,95500
-122.24,37.79,3375,116100
-122.24,37.79,2254.2,112200
-122.25,37.79,2100,75000
-122.25,37.79,1600,112500
-122.25,37.79,3625,125000
-122.26,37.8,1692.9,115000
-122.22,37.77,1647.1,95000
-122.22,37.77,2590,96400
-122.23,37.77,2570,72000
-122.23,37.78,2642.9,71300
-122.23,37.78,3025.7000000000003,80800
-122.22,37.78,1488.6,128800
-122.23,37.78,1933.8,112500
-122.23,37.78,1484.4,119400
-122.23,37.78,1600.9,118100
-122.23,37.79,2037.5,122500
-122.23,37.79,2293,106300
-122.22,37.79,2149.4,132500
-122.23,37.79,1619.8,122700
-122.23,37.79,1328.1,113300
-122.22,37.79,3515.6,109500
-122.22,37.79,3904.8,164700
-122.21,37.79,3089.3,125000
-122.22,37.79,2604.2000000000003,124700
-122.22,37.79,2500,136700
-122.22,37.79,2796.9,141700
-122.2,37.79,2832.1,150000
-122.21,37.79,2958.2999999999997,138800
-122.21,37.79,2836.5,139200
-122.21,37.79,2875,143800
-122.21,37.8,3068.2,156500
-122.21,37.8,3075.7,151000
-122.2,37.8,4955.9,273000
-122.2,37.8,4772.1,217100
-122.21,37.8,3486.1,187100
-122.2,37.8,5118.4000000000005,239600
-122.21,37.8,4097.7,229700
-122.19,37.8,4744,257300
-122.19,37.8,4272.700000000001,246900
-122.19,37.79,2984.4,179900
-122.2,37.79,4173.9,169600
-122.2,37.8,3848.7,203300
-122.19,37.8,4011.4,263400
-122.19,37.79,4656.3,231800
-122.19,37.79,2929.7,140500
-122.2,37.79,2303.6,126000
-122.2,37.79,2666.7000000000003,122000
-122.2,37.79,2619,134700
-122.21,37.79,2416.7000000000003,139400
-122.2,37.79,2778.7999999999997,115400
-122.21,37.78,2735.2,137300
-122.21,37.78,1847.2,137000
-122.21,37.78,2658.3,142600
-122.21,37.78,3053.6,137500
-122.22,37.78,2390.6,111700
-122.21,37.78,1718.8000000000002,126800
-122.21,37.78,2625,111300
-122.22,37.77,2801.5,114800
-122.22,37.78,1727.6,102300
-122.22,37.78,2080.1,131900
-122.22,37.78,2489,119100
-122.21,37.76,1754.6,80600
-122.21,37.77,4090.4,80600
-122.21,37.77,2676.5,88800
-122.2,37.77,2433.8,102400
-122.21,37.77,2330.9,98700
-122.21,37.77,2260.4,100000
-122.19,37.77,1803.9,92300
-122.2,37.77,2256.2000000000003,94800
-122.2,37.77,2056.2,102000
-122.2,37.78,3539.8,158400
-122.2,37.78,3116.7,121600
-122.2,37.78,2540.1,129100
-122.2,37.77,2898,121400
-122.21,37.78,2312.5,102800
-122.19,37.78,2875,160000
-122.19,37.77,3371.5,143900
-122.19,37.77,3511.4,151200
-122.19,37.78,4312.5,164400
-122.19,37.78,3220,156500
-122.18,37.78,3875,225000
-122.19,37.78,5232.8,174200
-122.19,37.78,3726.2,166900
-122.2,37.78,4589.299999999999,163500
-122.18,37.79,5257.799999999999,253000
-122.18,37.79,7087.5,240700
-122.18,37.79,3971.2,208100
-122.19,37.79,2951.4,198100
-122.19,37.79,2666.7000000000003,172800
-122.18,37.81,5444.6,336700
-122.18,37.8,6283.8,318200
-122.18,37.8,6752.7,285800
-122.13,37.77,7071.2,293000
-122.16,37.79,5984.9,371000
-122.17,37.78,3687.5,157300
-122.17,37.77,2875,135300
-122.18,37.78,3420.5,136700
-122.18,37.78,3298.4,160700
-122.17,37.78,3875,140600
-122.17,37.78,4175,144000
-122.16,37.77,4375,161900
-122.16,37.77,4770.8,156300
-122.16,37.77,3573.9,176000
-122.16,37.77,3095.8,145800
-122.17,37.77,3395.7999999999997,141900
-122.17,37.77,1871,90700
-122.17,37.76,1935.6,90600
-122.17,37.76,2184.2000000000003,107900
-122.18,37.76,2291.7000000000003,107000
-122.17,37.76,2433.3,98200
-122.18,37.76,1947.9,89500
-122.18,37.76,3906.3,93800
-122.18,37.76,1840.7,96700
-122.18,37.77,2078.6,97500
-122.18,37.77,2812.5,97300
-122.18,37.76,1891.3,91200
-122.19,37.76,1705.6,91400
-122.18,37.77,2276.8,96200
-122.18,37.77,3255.2,120100
-122.18,37.77,2055.6,100000
-122.19,37.76,2465.9,94700
-122.2,37.76,1750,85700
-122.19,37.77,2046.9,89300
-122.19,37.77,2715.9,101400
-122.19,37.76,1208.3,72500
-122.19,37.76,1925,74100
-122.2,37.75,1580.9,70000
-122.2,37.76,1409.7,84600
-122.19,37.76,768.3,81800
-122.19,37.75,1319.4,81400
-122.19,37.75,801.2,81800
-122.19,37.76,1947.9,85800
-122.19,37.74,1176.5,87100
-122.18,37.74,2345.6,83500
-122.19,37.73,2153.7999999999997,79700
-122.19,37.74,2513.9,83400
-122.19,37.73,1262.5,84700
-122.18,37.73,2906.2999999999997,80000
-122.18,37.73,2519.2000000000003,76400
-122.18,37.73,2111.1,79700
-122.18,37.73,2455,82400
-122.17,37.74,2402.8,97700
-122.17,37.74,2150,97200
-122.17,37.74,2477.6,101600
-122.17,37.73,2158.7000000000003,86500
-122.18,37.74,1843.8,90500
-122.17,37.74,3029.7999999999997,107600
-122.17,37.74,2250,84200
-122.18,37.74,2246.7000000000003,88900
-122.18,37.75,4046.9,80700
-122.18,37.75,1325,87100
-122.17,37.75,1619.6,85100
-122.18,37.75,2173.1,82000
-122.19,37.75,1916.7,82800
-122.18,37.75,2069,84600
-122.18,37.75,1712,82100
-122.17,37.76,2562.5,89300
-122.17,37.75,1982.1,98300
-122.17,37.75,2504.3,92300
-122.17,37.75,2328.1,88800
-122.17,37.75,1437.5,90000
-122.16,37.76,2512.2,95500
-122.16,37.75,1562.5,91700
-122.17,37.75,3158.7000000000003,100400
-122.17,37.76,1842.6,94800
-122.16,37.76,4669.6,164300
-122.16,37.76,2459.8,155500
-122.15,37.76,6074.9000000000005,196900
-122.14,37.77,4830.4,279100
-122.14,37.76,5570.1,252800
-122.13,37.76,5370,275400
-122.12,37.75,6860,250000
-122.12,37.75,7692.3,329800
-122.14,37.75,4031.3,195500
-122.14,37.75,6832.3,255900
-122.13,37.75,4975,311100
-122.13,37.75,5360.2,330000
-122.13,37.74,5000,248900
-122.16,37.75,2925,142900
-122.15,37.75,3891.3,126300
-122.15,37.75,3225,135800
-122.15,37.74,3145.7999999999997,130600
-122.16,37.75,2537,107900
-122.16,37.75,2556.8,111100
-122.15,37.74,3508.3,122000
-122.15,37.74,3312.5,118000
-122.16,37.75,1823.5,95200
-122.16,37.75,3804.7,94300
-122.17,37.74,2291.7000000000003,92500
-122.17,37.75,2496.2,91800
-122.16,37.74,4041.7,109400
-122.16,37.74,3484.4,129500
-122.16,37.74,4145.8,143400
-122.16,37.74,2625,98200
-122.16,37.74,2022.7,103100
-122.29,37.9,3333.2999999999997,276800
-122.29,37.9,5338,270900
-122.29,37.89,3473.2,246200
-122.3,37.9,3512.5,224200
-122.29,37.89,3137.5,229100
-122.3,37.89,2803.6,211600
-122.3,37.9,4582.4,256100
-122.3,37.89,3020.7999999999997,206300
-122.3,37.89,4087.500000000001,221300
-122.33,37.89,4526.799999999999,207400
-122.34,37.88,1737.5,350000
-122.29,37.89,3179.5,218200
-122.29,37.88,3867.2,216700
-122.29,37.89,5167.5,270600
-122.29,37.89,5169.6,261400
-122.28,37.88,4261.4,261300
-122.29,37.89,5055.1,232200
-122.27,37.9,5622.8,375400
-122.26,37.9,7886.4,357300
-122.27,37.9,7955.6,374400
-122.27,37.9,6174,358800
-122.27,37.9,6941.4,417500
-122.27,37.89,8834.199999999999,430500
-122.28,37.9,7175.4,362900
-122.28,37.9,4908.299999999999,346800
-122.28,37.89,5791.2,327100
-122.28,37.89,4589.299999999999,290100
-122.28,37.89,5417.0999999999995,292000
-122.28,37.89,4125,270900
-122.27,37.89,7266,371100
-122.27,37.89,5398.9000000000005,335600
-122.26,37.9,7833.6,371300
-122.25,37.89,6159.3,344000
-122.26,37.89,6381,342200
-122.26,37.89,6682.8,370900
-122.25,37.89,7538.5,350000
-122.25,37.89,6713.8,368600
-122.26,37.88,6242.5,391800
-122.26,37.88,5797.9000000000005,415300
-122.27,37.88,4281.3,284900
-122.27,37.88,3541.7000000000003,287500
-122.27,37.88,3013.2,272900
-122.28,37.88,4142.9,259600
-122.28,37.88,4191.2,254500
-122.28,37.88,3916.7,235600
-122.29,37.88,3889.7,218400
-122.29,37.88,3106.5,229200
-122.29,37.88,2992.6,192100
-122.29,37.88,3556,179300
-122.3,37.88,1475,187500
-122.3,37.88,1697.1,138800
-122.3,37.87,2170.5,150000
-122.3,37.86,2750,140600
-122.29,37.85,2568.2,120000
-122.3,37.88,2900,144800
-122.3,37.87,2220.8,144800
-122.28,37.88,3234.4,245500
-122.28,37.87,3515.6,200000
-122.28,37.87,1980.5,173700
-122.29,37.87,2668.4,185600
-122.29,37.87,3875,182600
-122.28,37.88,3006,227900
-122.28,37.87,2543,220700
-122.28,37.87,2867.6,212000
-122.27,37.88,2190.7000000000003,271400
-122.27,37.87,1777.8,268800
-122.27,37.88,2520,277800
-122.26,37.88,4278.8,332500
-122.26,37.88,2944,338900
-122.26,37.88,1725,287500
-122.25,37.87,5228.9000000000005,384600
-122.25,37.87,2556.2,371400
-122.25,37.87,949,350000
-122.26,37.87,1401.2,175000
-122.26,37.87,1185.9,241700
-122.27,37.87,1746.4,216700
-122.27,37.87,2884.6,211300
-122.27,37.87,2737.2000000000003,210200
-122.28,37.86,3859.4,196400
-122.28,37.87,3562.5,191700
-122.28,37.87,2278.7999999999997,182300
-122.29,37.87,2537,175000
-122.29,37.87,2525,165900
-122.29,37.86,1994.6,156900
-122.28,37.86,2821.4,164300
-122.29,37.87,2616.5,150000
-122.29,37.86,1948.3,150500
-122.28,37.86,1932.7,169900
-122.28,37.86,1979.8,147400
-122.28,37.85,2416.7000000000003,152700
-122.27,37.86,2541.7000000000003,182700
-122.28,37.86,3390.6,179300
-122.28,37.86,2565.2,157700
-122.28,37.86,2284.5,153100
-122.27,37.86,2607.1,250000
-122.27,37.86,3150,206300
-122.27,37.86,2691.3999999999996,218800
-122.27,37.86,1844.7,198200
-122.26,37.86,1630.7,253600
-122.26,37.86,2904.4,257400
-122.26,37.86,2940.5,289500
-122.26,37.86,3389.3,241700
-122.25,37.86,3041.7000000000003,489600
-122.25,37.86,7089.7,446200
-122.25,37.86,5046.299999999999,456300
-122.25,37.86,1765.2,336800
-122.25,37.86,5379.4000000000005,376900
-122.26,37.85,3261.8999999999996,309600
-122.27,37.85,2705.4,182300
-122.27,37.85,2243.1,172700
-122.27,37.85,1902.8,150800
-122.27,37.85,1581.7,153600
-122.27,37.85,2284.1,106300
-122.27,37.85,1378.5,142300
-122.28,37.85,2901.8,119400
-122.28,37.85,1730,147900
-122.28,37.85,2262.5,132900
-122.29,37.84,2210.6,132500
-122.28,37.83,2699.7,126900
-122.3,37.84,4001.8,143800
-122.23,37.82,8187.200000000001,466100
-122.24,37.83,5894.8,457800
-122.24,37.83,8119.4,471600
-122.24,37.82,6155,398600
-122.25,37.82,5883,340700
-122.23,37.76,5212.799999999999,289900
-122.23,37.76,4718.8,335300
-122.23,37.76,5291.5,333000
-122.24,37.77,2641.1,241000
-122.23,37.77,3321.4,189600
-122.24,37.77,3641.7,206300
-122.25,37.77,3016.1,215700
-122.25,37.77,3177.1,210200
-122.25,37.77,3453.1,208800
-122.25,37.77,4309.8,197900
-122.26,37.78,3343.7999999999997,201300
-122.26,37.78,2921.3,190800
-122.27,37.78,2680.6,207900
-122.27,37.78,3770.8,215300
-122.27,37.78,3944.4,212900
-122.27,37.78,5260.1,292700
-122.28,37.79,2544.4,275000
-122.3,37.77,2644.7,200000
-122.28,37.78,2576.2,173400
-122.29,37.78,1942.7,102200
-122.28,37.77,2968.7999999999997,220800
-122.28,37.77,3750,242800
-122.29,37.76,5170.200000000001,265400
-122.28,37.78,2513.9,219000
-122.26,37.77,2973.2,282100
-122.27,37.77,5533.7,372000
-122.27,37.77,4166.7,225800
-122.27,37.77,2711.5,220800
-122.27,37.77,3326.9,234500
-122.25,37.77,3268.5,254200
-122.26,37.77,4777.8,351800
-122.26,37.77,4226,275000
-122.26,37.77,3357.1,405400
-122.26,37.77,2989.9,228100
-122.26,37.77,2875,234000
-122.24,37.77,2388.2,162500
-122.25,37.77,2975,243400
-122.23,37.76,5103.9000000000005,273800
-122.23,37.76,4145.8,248500
-122.24,37.76,3476.2,244000
-122.24,37.76,2683.3,240900
-122.23,37.76,5750,306300
-122.23,37.75,3963.2,240000
-122.24,37.75,4948.9,247100
-122.24,37.75,4871.1,286600
-122.24,37.76,3071.8,266700
-122.24,37.76,3671.9,229800
-122.24,37.76,4609.4,229300
-122.24,37.73,4521.3,228400
-122.25,37.74,4456.2,206200
-122.24,37.72,7611,350700
-122.27,37.73,3268.9,231000
-122.25,37.76,3567,252900
-122.27,37.74,3687.5,353900
-122.27,37.77,4769.5,291700
-122.28,37.75,3197.2,100000
-122.06,37.77,7263.4,341600
-122.06,37.73,7056.8,412500
-122.06,37.71,4635,248600
-122.07,37.71,5301.5,254900
-122.07,37.71,4980.1,241500
-122.07,37.72,5483.4,295200
-122.08,37.72,6187,340400
-122.08,37.72,5619.4,274700
-122.08,37.71,5463.9,238600
-122.09,37.71,5149.8,266400
-122.1,37.72,5838.2,330200
-122.11,37.71,4650,206800
-122.1,37.7,4381.9,209200
-122.1,37.69,3722.2,195800
-122.09,37.71,5285.5,253500
-122.09,37.7,4337.5,241800
-122.1,37.71,5213.0999999999995,252500
-122.09,37.7,6005,263900
-122.08,37.71,5051.9,227000
-122.08,37.71,4823.7,220900
-122.08,37.7,5249.7,259300
-122.07,37.7,4125,232500
-122.06,37.7,4600.5,231600
-122.06,37.7,3518.7,209400
-122.07,37.7,3000,223200
-122.08,37.7,3493.3999999999996,209900
-122.09,37.7,2986.1,208200
-122.07,37.69,2536.2,203800
-122.08,37.69,3302.1,195700
-122.07,37.69,3096.4,190500
-122.08,37.69,2851.2,181000
-122.08,37.69,3347.7999999999997,184900
-122.08,37.68,2395.7999999999997,190800
-122.08,37.68,3529.5,242200
-122.09,37.69,4803.6,188300
-122.15,37.74,3851,183500
-122.14,37.74,4066.2,204200
-122.14,37.73,4604.2,251900
-122.15,37.74,2200,187500
-122.16,37.73,4116.4,198200
-122.15,37.74,3950,219000
-122.15,37.73,4913.5,275000
-122.15,37.73,2835.5,245400
-122.17,37.73,3250,177500
-122.16,37.73,2830.1,171600
-122.17,37.73,3715.9,183300
-122.16,37.73,2562.5,175000
-122.18,37.72,3804.7,156700
-122.18,37.71,3375,157500
-122.17,37.71,3244,179800
-122.18,37.7,4026.8,205500
-122.18,37.7,3390.6,178900
-122.19,37.71,5546.1,262500
-122.17,37.72,3371,165000
-122.17,37.72,3531.2999999999997,159700
-122.17,37.72,3663,158300
-122.16,37.72,2875,144800
-122.17,37.72,4020.2,166300
-122.16,37.71,4555.3,191000
-122.16,37.71,3464.3,175000
-122.16,37.72,3343.1000000000004,137500
-122.15,37.73,2189.8,141700
-122.15,37.72,2909.7,210900
-122.15,37.72,3375,198300
-122.15,37.72,2812.5,157400
-122.14,37.73,5000,264700
-122.14,37.73,3067.2999999999997,218400
-122.14,37.73,3812.5,235100
-122.13,37.73,6909.6,341800
-122.13,37.72,7912,367300
-122.13,37.72,3839.3,243500
-122.12,37.71,4000,167900
-122.13,37.72,6509.5,371200
-122.14,37.72,3515.6,218900
-122.14,37.72,2983,202700
-122.13,37.72,3524,186200
-122.13,37.71,3110.3,188900
-122.13,37.71,3578.1,180000
-122.15,37.71,3168.2000000000003,202700
-122.14,37.71,2610.1,181700
-122.14,37.71,3693.2,166800
-122.13,37.7,3458.2999999999997,183700
-122.13,37.7,3903.2,218000
-122.15,37.71,4020.8,191500
-122.15,37.7,3554.7,194700
-122.14,37.7,4585.9,187200
-122.13,37.7,2632.1,223100
-122.13,37.69,3395,271300
-122.14,37.7,3970.2,194100
-122.16,37.7,5004.3,190400
-122.14,37.69,4465.9000000000005,189100
-122.15,37.69,3662.5,184600
-122.15,37.69,3886.4,197300
-122.15,37.7,3458.2999999999997,192600
-122.16,37.69,3781.3,192200
-122.16,37.7,2991.7,194600
-122.16,37.7,4437.5,193500
-122.17,37.7,4000,202600
-122.16,37.68,2386.8999999999996,83300
-122.17,37.69,4760.9000000000005,212600
-122.18,37.68,5485.8,187800
-122.16,37.69,4397.1,205700
-122.15,37.69,4010.900000000001,192900
-122.15,37.68,4386.4,205200
-122.15,37.68,4284.0999999999995,213400
-122.15,37.69,5131.2,183600
-122.14,37.69,2995.8,178400
-122.14,37.68,3636.4,219200
-122.14,37.68,2795.5,183100
-122.1,37.69,2950.7,157100
-122.12,37.69,3437.5,157800
-122.13,37.69,2875,161700
-122.12,37.71,3034.5,152100
-122.12,37.7,2679,144900
-122.12,37.7,2992.2,179900
-122.12,37.69,4104.2,179100
-122.12,37.7,2583.2999999999997,159900
-122.11,37.7,2155.2,161400
-122.11,37.7,2327.4,170400
-122.11,37.7,2420.6,137500
-122.1,37.69,3906.3,178400
-122.11,37.69,2646.3999999999996,155200
-122.11,37.69,3464.3,160900
-122.12,37.69,2397.3,167300
-122.03,37.69,6500,340000
-121.97,37.64,6057.4000000000005,431000
-122.02,37.63,3895.8,301100
-122.04,37.63,4781.3,241900
-122.05,37.63,3282.9,162500
-122.04,37.66,5316.9000000000005,299200
-122.04,37.65,6257.9000000000005,315500
-122.05,37.68,5170.0999999999995,216800
-122.07,37.68,3250,218100
-122.06,37.68,3179.6000000000004,170300
-122.08,37.68,2419.6,275000
-122.08,37.68,2656.2999999999997,184100
-122.08,37.67,963.7,160000
-122.09,37.67,2335.7000000000003,175000
-122.09,37.68,3511.4,197500
-122.09,37.69,3312.5,150000
-122.09,37.68,2404.2,205600
-122.09,37.68,2832.2,170300
-122.09,37.68,2515.6,190900
-122.1,37.68,3403.2,196900
-122.1,37.68,2535,174000
-122.11,37.68,2577.2,170200
-122.1,37.68,3096.2000000000003,180900
-122.1,37.67,2956.4,150500
-122.1,37.68,3125,167100
-122.12,37.68,2950,148900
-122.12,37.68,4380,196400
-122.12,37.68,4041.7,191100
-122.11,37.67,3800,187500
-122.12,37.68,3483.9,180600
-122.13,37.68,4058.8,182800
-122.13,37.68,4197.4,179300
-122.13,37.68,3600,179400
-122.14,37.68,4267,210300
-122.14,37.67,4238.6,192300
-122.15,37.67,5579.7,198100
-122.14,37.67,4068.2,196200
-122.13,37.67,3173.4,181600
-122.14,37.67,4793.3,186900
-122.14,37.67,4812.5,188300
-122.13,37.67,3867.6,184000
-122.12,37.67,3939.5,184700
-122.13,37.67,3243.3999999999996,179900
-122.11,37.67,3091.7,167200
-122.11,37.67,3064.5,165400
-122.09,37.67,2701.9,154000
-122.09,37.67,3111.5,153500
-122.09,37.66,3472.2,135400
-122.09,37.66,2222.2,158300
-122.05,37.68,6110.4000000000005,240700
-122.06,37.67,4273.3,180700
-122.07,37.67,3246.5,230600
-122.07,37.67,3241.7,210800
-122.07,37.67,3875,165300
-122.04,37.67,6050.0999999999995,254200
-122.04,37.67,6823.299999999999,332600
-122.04,37.66,6350.1,350000
-122.07,37.66,2671.9,161200
-122.07,37.66,3875,179300
-122.08,37.66,2562.5,154300
-122.07,37.65,3016,161800
-122.08,37.65,2769.4,161900
-122.08,37.65,3681.8,165400
-122.08,37.66,2138.2,166600
-122.1,37.66,3730.3,149700
-122.1,37.66,3875,162100
-122.1,37.66,3048.9,152600
-122.09,37.65,2820.3,195200
-122.09,37.65,4389.700000000001,190600
-122.09,37.65,4714.299999999999,193800
-122.1,37.66,4687.5,200600
-122.11,37.66,3209.1,150000
-122.1,37.66,4275,185300
-122.11,37.66,4130.200000000001,172700
-122.11,37.66,3090,174100
-122.1,37.65,4541.7,194400
-122.1,37.64,4663.5,206700
-122.1,37.65,4442.700000000001,204500
-122.1,37.65,4530.3,175000
-122.12,37.65,2375,137500
-122.1,37.63,3817.1,187200
-122.1,37.61,4528.1,173600
-122.13,37.66,4345.6,163000
-122.11,37.65,3486.1,331600
-122.11,37.64,5231.200000000001,197600
-122.11,37.64,3670.8,197900
-122.12,37.64,3887.5,228100
-122.09,37.63,3916.7,189500
-122.09,37.64,3906.3,184200
-122.1,37.63,3789.5,180900
-122.08,37.64,3800,172000
-122.08,37.64,5730.9000000000005,177900
-122.09,37.64,4114.0999999999995,173100
-122.09,37.64,5283.8,172600
-122.08,37.64,3347.9,182100
-122.08,37.64,3142,179500
-122.08,37.63,3761.4,176000
-122.08,37.63,4250,192600
-122.08,37.64,3933.8,182700
-122.07,37.64,2515.8,134900
-122.07,37.63,2480.7999999999997,157600
-122.07,37.64,4708.3,190900
-122.06,37.64,4165.2,158200
-122.06,37.64,3554.1,350000
-122.06,37.65,3803.6,158200
-122.06,37.64,3825.9,146100
-122.04,37.63,3233.1,226700
-122.03,37.62,4710.9,198700
-122.03,37.62,4246.8,221200
-122.04,37.62,6396,208500
-122.04,37.62,3812.5,204200
-122.04,37.62,3285.7,193200
-122.03,37.62,3892.9,209500
-122.03,37.61,3726.2,164900
-122.03,37.61,4012.5,161400
-122.04,37.61,4171.9,187000
-122.04,37.62,4285.700000000001,190400
-122.08,37.63,3645.8,156600
-122.08,37.62,2687.5,157300
-122.07,37.63,3729.2,168100
-122.07,37.63,4591.3,177600
-122.06,37.63,3862.5,208900
-122.06,37.63,3361.1,169200
